date,weight_mg,tank,before-after,trial,reweigh
2020-09-13,330,A,before,1,no
2020-09-13,360,A,before,1,no
2020-09-13,350,A,before,1,no
2020-09-13,340,A,before,1,no
2020-09-13,330,A,before,1,no
2020-09-13,340,A,before,1,no
2020-09-13,360,A,before,1,no
2020-09-13,350,A,before,1,no
2020-09-13,330,A,before,1,no
2020-09-13,350,B,before,1,no
2020-09-13,350,B,before,1,no
2020-09-13,330,B,before,1,no
2020-09-13,380,B,before,1,no
2020-09-13,360,B,before,1,no
2020-09-13,370,B,before,1,no
2020-09-13,410,B,before,1,no
2020-09-13,330,B,before,1,no
2020-09-13,350,B,before,1,no
2020-09-13,420,B,before,1,no
2020-09-13,340,C,before,1,no
2020-09-13,310,C,before,1,no
2020-09-13,380,C,before,1,no
2020-09-13,360,C,before,1,no
2020-09-13,330,C,before,1,no
2020-09-13,350,C,before,1,no
2020-09-13,350,C,before,1,no
2020-09-13,330,C,before,1,no
2020-09-13,360,C,before,1,no
2020-09-13,330,C,before,1,no
2020-09-15,360,A,after,1,yes
2020-09-15,350,A,after,1,yes
2020-09-15,350,A,after,1,yes
2020-09-15,340,A,after,1,yes
2020-09-15,380,A,after,1,yes
2020-09-15,330,A,after,1,yes
2020-09-15,360,A,after,1,yes
2020-09-15,350,A,after,1,yes
2020-09-15,370,A,after,1,yes
2020-09-15,370,A,after,1,yes
2020-09-15,430,B,after,1,yes
2020-09-15,380,B,after,1,yes
2020-09-15,360,B,after,1,yes
2020-09-15,340,B,after,1,yes
2020-09-15,350,B,after,1,yes
2020-09-15,430,B,after,1,yes
2020-09-15,400,B,after,1,yes
2020-09-15,390,B,after,1,yes
2020-09-15,310,B,after,1,yes
2020-09-15,330,C,after,1,yes
2020-09-15,400,C,after,1,yes
2020-09-15,390,C,after,1,yes
2020-09-15,350,C,after,1,yes
2020-09-15,400,C,after,1,yes
2020-09-15,330,C,after,1,yes
2020-09-15,350,C,after,1,yes
2020-09-15,330,C,after,1,yes
2020-09-15,330,C,after,1,yes
2020-09-15,330,C,after,1,yes
2020-09-17,330,A(D),before,2,no
2020-09-17,340,A(D),before,2,no
2020-09-17,320,A(D),before,2,no
2020-09-17,330,A(D),before,2,no
2020-09-17,290,A(D),before,2,no
2020-09-17,380,A(D),before,2,no
2020-09-17,310,A(D),before,2,no
2020-09-17,340,A(D),before,2,no
2020-09-17,340,A(D),before,2,no
2020-09-17,360,A(D),before,2,no
2020-09-17,270,B(E),before,2,no
2020-09-17,290,B(E),before,2,no
2020-09-17,360,B(E),before,2,no
2020-09-17,310,B(E),before,2,no
2020-09-17,310,B(E),before,2,no
2020-09-17,360,B(E),before,2,no
2020-09-17,280,B(E),before,2,no
2020-09-17,300,B(E),before,2,no
2020-09-17,380,B(E),before,2,no
2020-09-17,330,B(E),before,2,no
2020-09-20,380,A(D),after,2,yes
2020-09-20,330,A(D),after,2,yes
2020-09-20,330,A(D),after,2,yes
2020-09-20,310,A(D),after,2,yes
2020-09-20,330,A(D),after,2,yes
2020-09-20,300,A(D),after,2,yes
2020-09-20,300,A(D),after,2,yes
2020-09-20,290,A(D),after,2,yes
2020-09-20,350,A(D),after,2,yes
2020-09-20,290,A(D),after,2,yes
2020-09-20,330,B(E),after,2,yes
2020-09-20,250,B(E),after,2,yes
2020-09-20,350,B(E),after,2,yes
2020-09-20,270,B(E),after,2,yes
2020-09-20,290,B(E),after,2,yes
2020-09-20,240,B(E),after,2,yes
2020-09-20,330,B(E),after,2,yes
2020-09-20,260,B(E),after,2,yes
2020-09-20,270,B(E),after,2,yes
2020-09-20,270,B(E),after,2,yes
