date,time,tank,tempC,salPPT,lightLUX,flow,flowUnits,notes
2021-08-08,14:58,F4,15.1,33,90,NA,NA,light in lumens
2021-08-08,15:05,F1,14.6,34,60,NA,NA,light in lumens
2021-08-08,15:09,F3,14.5,34,16,NA,NA,light in lumens
2021-08-08,15:13,F4,14.2,34,15,NA,NA,light in lumens
2021-08-09,08:05,F4,10.3,33,33,NA,NA,light in lumens
2021-08-09,08:08,F1,9.7,34,25,NA,NA,light in lumens
2021-08-09,08:12,F2,10.0,35,13,NA,NA,light in lumens
2021-08-09,08:15,F3,11.0,35,10,NA,NA,light in lumens
2021-08-09,16:44,F4,16.0,29,275,NA,NA,"33ppt reading from old refractometer, light in lumens"
2021-08-09,16:49,F1,14.9,31,250,NA,NA,"31ppt reading from old refractometer, light in lumens"
2021-08-09,17:08,F2,14.3,31,150,NA,NA,"32ppt reading from old refractometer, light in lumens"
2021-08-09,17:11,F3,14.5,31,50,NA,NA,"33ppt reading from old refractometer, light in lumens"
2021-08-10,07:57,F4,12.6,31,40,NA,NA,"new sal only, light in lumens"
2021-08-10,07:59,F1,11.3,31,30,NA,NA,light in lumens
2021-08-10,08:02,F2,10.8,30,15,NA,NA,light in lumens
2021-08-10,08:05,F3,11.0,30,5,NA,NA,light in lumens
2021-08-10,12:31,F4,15.6,30,55,NA,NA,light in lumens
2021-08-10,12:33,F1,15.3,31,43,NA,NA,light in lumens
2021-08-10,12:36,F2,15.3,31,33,NA,NA,light in lumens
2021-08-10,12:38,F3,15.2,30,10,NA,NA,light in lumens
2021-08-10,12:43,TF5,21.2,30,1600,NA,NA,"small container test, got down to <15 C after a few minutes of higher flow"
2021-08-10,18:49,F1,14.6,30,85,NA,NA,light in lumens
2021-08-10,18:52,F4,15.8,30,100,NA,NA,light in lumens
2021-08-10,18:55,F2,14.7,30,55,NA,NA,light in lumens
2021-08-10,18:57,F3,14.9,31,10,NA,NA,light in lumens
2021-08-11,08:56,F4,13.6,30,35,NA,NA,light in lumens
2021-08-11,08:58,F1,12.9,30,35,NA,NA,light in lumens
2021-08-11,09:01,F2,12.9,31,20,NA,NA,light in lumens
2021-08-11,09:03,F3,12.9,31,5,NA,NA,light in lumens
2021-08-11,10:38,TF2,15.5,33,4600,NA,NA,"lux begins here, test"
2021-08-11,10:35,TF4,13.8,31,4000,NA,NA,test
2021-08-12,08:19,F4,15.0,31,700,NA,NA,
2021-08-12,08:22,F1,14.1,30,700,NA,NA,
2021-08-12,08:25,F2,14.0,30,500,NA,NA,
2021-08-12,08:28,F3,13.6,30,100,NA,NA,
2021-08-12,13:00,F4,16.0,30,1500,NA,NA,16.3 C temp with laser
2021-08-12,13:10,TF11,14.4,31,5100,NA,NA,15.8 C temp with laser
2021-08-12,13:18,TF7,14.7,32,NA,NA,NA,15.4 C temp with laser
2021-08-12,13:22,TF1,15.9,33,10300,NA,NA,"test, 17.2 C temp with laser"
2021-08-12,13:27,F1,16.3,31,2600,NA,NA,14.4 C temp with laser
2021-08-12,13:30,F2,16.2,31,1300,NA,NA,14.1 C temp with laser
2021-08-12,13:36,F3,16.3,33,300,NA,NA,14.5 C temp with laser
2021-08-12,16:02,TF11,14.5,31,1800,NA,NA,16.2 C temp with laser
2021-08-12,16:07,TF7,14.9,31,1800,NA,NA,19.1 C temp with laser
2021-08-13,08:36,TF11,13.0,30,1000,NA,NA,began using lollipop therm only
2021-08-13,08:40,TF7,13.2,30,1350,NA,NA,
2021-08-13,16:33,TF11,14.9,30,850,NA,NA,
2021-08-13,16:36,TF7,14.9,30,1050,NA,NA,
2021-08-14,08:02,TF11,12.8,30,775,NA,NA,
2021-08-14,08:05,TF7,12.9,30,1075,NA,NA,
2021-08-14,13:59,TF1,14.3,NA,2400,NA,NA,test temp with laser
2021-08-14,14:54,TF1,14.8,NA,2500,NA,NA,test temp with laser
2021-08-15,08:52,TF11,12.9,30,2500,NA,NA,
2021-08-15,08:55,TF7,13.0,31,3800,NA,NA,
2021-08-15,12:16,TF4,13.0,31,150,NA,NA,
2021-08-15,12:22,F3,14.2,30,NA,NA,NA,
2021-08-15,12:23,F4,14.5,30,NA,NA,NA,
2021-08-15,12:25,F1,14.4,30,NA,NA,NA,
